شناسه_مشترک,جنسیت,سن,ماه_تولد,سابقه_سیم‌کارت_ماه,نسل_اینترنت_همراه,بسته_رومینگ_بین‌الملل,فضای_ابری_اپراتور,بسته_اینترنت_شبانه,سرویس_تماس_VoLTE,سوپراپ_شبکه اجتماعی,سوپراپ_خدمات_مالی,نوع_سیم‌کارت,استفاده_اپلیکیشن_اپراتور,هزینه_ماهیانه_تومان,هزینه_کل_تومان,ریزش
2889,زن,35,آبان,1,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,10650000,10650000,بله
2890,مرد,45,شهریور,58,4G,بله,بله,بله,خیر,بله,خیر,دائمی,خیر,7500000,437977500,خیر
2891,زن,42,بهمن,47,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,خیر,10582500,496387500,بله
2892,زن,18,مرداد,1,5G,خیر,خیر,خیر,خیر,خیر,بله,اعتباری,بله,11955000,11955000,بله
2893,مرد,49,اردیبهشت,1,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,3067500,3067500,خیر
2894,مرد,43,فروردین,22,4G,بله,بله,خیر,خیر,خیر,خیر,اعتباری,خیر,8850000,188205000,بله
2895,زن,46,اسفند,48,3G,بله,خیر,بله,بله,خیر,خیر,دائمی,بله,9052500,434460000,بله
2896,زن,75,آذر,37,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,بله,2977500,107625000,خیر
2897,مرد,18,تیر,13,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,بله,2992500,38070000,خیر
2898,مرد,61,شهریور,43,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3967500,166507500,خیر
2899,زن,37,اردیبهشت,6,3G,بله,بله,بله,بله,بله,بله,دائمی,بله,9510000,52320000,خیر
2900,مرد,43,دی,71,4G,بله,بله,بله,بله,بله,خیر,دائمی,خیر,8092500,583297500,خیر
2901,زن,39,فروردین,1,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,10387500,10387500,بله
2902,زن,35,فروردین,72,5G,بله,بله,خیر,خیر,بله,خیر,دائمی,بله,14265000,1026472500,خیر
2903,زن,33,آبان,6,5G,بله,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,11115000,67635000,خیر
2904,مرد,44,مهر,12,3G,خیر,بله,خیر,بله,خیر,خیر,اعتباری,خیر,5325000,64837500,خیر
2905,مرد,22,بهمن,25,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,خیر,10642500,265102500,بله
2906,زن,49,اردیبهشت,21,5G,خیر,خیر,بله,بله,خیر,خیر,دائمی,خیر,11880000,261367500,خیر
2907,زن,35,آذر,6,4G,خیر,خیر,خیر,بله,خیر,خیر,اعتباری,بله,7320000,44602500,خیر
2908,مرد,26,اردیبهشت,20,5G,خیر,خیر,خیر,خیر,بله,بله,اعتباری,بله,13350000,273067500,بله
2909,مرد,35,بهمن,18,5G,بله,خیر,خیر,خیر,بله,بله,اعتباری,بله,14910000,261442500,بله
2910,زن,55,بهمن,43,4G,خیر,بله,خیر,بله,خیر,خیر,دائمی,خیر,8317500,366637500,خیر
2911,زن,34,دی,35,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,بله,3810000,142470000,خیر
2912,زن,44,خرداد,1,5G,خیر,خیر,بله,خیر,خیر,خیر,اعتباری,خیر,11025000,11025000,بله
2913,مرد,31,آذر,32,5G,خیر,بله,بله,خیر,خیر,بله,اعتباری,بله,14025000,445620000,خیر
2914,مرد,49,اردیبهشت,52,3G,بله,بله,بله,بله,بله,بله,دائمی,خیر,9585000,500242500,خیر
2915,مرد,48,مرداد,32,4G,خیر,خیر,خیر,خیر,بله,بله,دائمی,بله,9727500,301642500,خیر
2916,زن,62,دی,72,4G,بله,بله,بله,بله,بله,بله,دائمی,بله,9570000,702645000,خیر
2917,مرد,38,اسفند,51,4G,بله,خیر,خیر,بله,خیر,بله,اعتباری,بله,6667500,327232500,خیر
2918,مرد,48,تیر,68,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,بله,2992500,195487500,خیر
2919,مرد,41,فروردین,8,4G,خیر,بله,بله,خیر,خیر,بله,اعتباری,بله,6502500,55710000,خیر
2920,مرد,56,اسفند,49,4G,خیر,بله,خیر,خیر,بله,بله,دائمی,خیر,7447500,361485000,خیر
2921,زن,31,بهمن,72,4G,بله,بله,بله,بله,بله,بله,دائمی,خیر,12765000,923310000,خیر
2922,مرد,49,مهر,9,5G,خیر,خیر,خیر,خیر,بله,بله,اعتباری,بله,14325000,124365000,بله
2923,زن,38,اسفند,28,5G,بله,خیر,خیر,خیر,بله,بله,اعتباری,بله,13852500,390435000,بله
2924,مرد,39,مهر,54,5G,بله,خیر,بله,خیر,بله,خیر,اعتباری,خیر,13470000,700050000,خیر
2925,مرد,41,اردیبهشت,11,5G,خیر,بله,خیر,خیر,خیر,خیر,اعتباری,بله,11182500,123712500,بله
2926,زن,43,مهر,50,5G,خیر,خیر,بله,بله,بله,بله,دائمی,خیر,15457500,773025000,خیر
2927,زن,39,بهمن,69,5G,بله,بله,بله,بله,بله,بله,دائمی,بله,17400000,1227427500,خیر
2928,مرد,43,آبان,1,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,10485000,10485000,خیر
2929,مرد,59,دی,68,5G,بله,بله,خیر,بله,خیر,بله,دائمی,خیر,14265000,1002510000,خیر
2930,مرد,52,آذر,40,4G,بله,بله,خیر,بله,خیر,خیر,دائمی,خیر,6037500,234607500,خیر
2931,مرد,50,بهمن,31,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3862500,113340000,خیر
2932,زن,35,اردیبهشت,33,5G,خیر,بله,بله,خیر,بله,بله,اعتباری,بله,15802500,519757500,خیر
2933,مرد,29,دی,55,5G,خیر,بله,بله,بله,بله,بله,دائمی,بله,17040000,943905000,خیر
2934,مرد,51,بهمن,68,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,بله,3600000,249645000,خیر
2935,زن,51,تیر,12,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,2910000,29715000,خیر
2936,مرد,58,بهمن,71,4G,بله,بله,بله,بله,بله,بله,دائمی,بله,12915000,906885000,خیر
2937,مرد,33,مهر,40,5G,خیر,بله,بله,خیر,بله,بله,اعتباری,بله,15397500,616222500,خیر
2938,زن,37,شهریور,64,5G,خیر,بله,بله,خیر,خیر,بله,دائمی,بله,13927500,897112500,خیر
2939,مرد,20,اسفند,53,5G,خیر,بله,خیر,بله,خیر,بله,دائمی,خیر,14662500,756480000,خیر
2940,مرد,35,فروردین,12,5G,خیر,بله,بله,بله,خیر,خیر,اعتباری,بله,12570000,154462500,بله
2941,مرد,52,اسفند,53,3G,خیر,بله,بله,خیر,بله,بله,اعتباری,بله,8167500,428182500,بله
2942,مرد,34,مرداد,72,5G,بله,بله,بله,خیر,بله,خیر,دائمی,بله,14692500,1067137500,خیر
2943,مرد,48,مرداد,46,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,2992500,136057500,خیر
2944,مرد,38,اردیبهشت,40,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,بله,3690000,146092500,خیر
2945,مرد,44,خرداد,12,4G,بله,بله,خیر,بله,بله,خیر,اعتباری,بله,7642500,90862500,خیر
2946,مرد,26,اسفند,9,5G,بله,خیر,خیر,خیر,خیر,خیر,اعتباری,خیر,11340000,99232500,خیر
2947,زن,41,دی,51,5G,خیر,خیر,خیر,بله,خیر,خیر,اعتباری,بله,12112500,617535000,خیر
2948,مرد,18,آذر,49,5G,خیر,بله,بله,خیر,بله,خیر,اعتباری,بله,13560000,674197500,خیر
2949,مرد,38,شهریور,41,5G,خیر,خیر,بله,خیر,بله,بله,اعتباری,بله,14970000,638895000,بله
2950,زن,20,شهریور,56,3G,بله,خیر,بله,بله,خیر,خیر,دائمی,بله,9037500,492412500,خیر
2951,مرد,54,مرداد,4,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,بله,3030000,8355000,خیر
2952,مرد,49,دی,20,4G,بله,خیر,خیر,بله,خیر,بله,دائمی,بله,9622500,191167500,خیر
2953,زن,46,اردیبهشت,26,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,بله,3037500,74092500,خیر
2954,زن,58,اسفند,20,5G,خیر,بله,بله,خیر,بله,بله,اعتباری,بله,15877500,335947500,بله
2955,زن,29,آبان,7,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,خیر,11317500,72112500,بله
2956,مرد,61,مهر,7,5G,خیر,خیر,خیر,خیر,بله,بله,اعتباری,بله,14077500,95340000,بله
2957,مرد,51,شهریور,51,5G,خیر,بله,بله,خیر,بله,بله,اعتباری,بله,14850000,755722500,خیر
2958,زن,37,تیر,4,5G,خیر,بله,خیر,خیر,خیر,خیر,اعتباری,بله,12045000,48630000,خیر
2959,زن,54,مرداد,1,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,2932500,2932500,خیر
2960,مرد,27,تیر,27,5G,بله,بله,خیر,بله,بله,خیر,اعتباری,خیر,15112500,419032500,خیر
2961,مرد,30,آذر,22,5G,بله,خیر,خیر,خیر,بله,بله,اعتباری,بله,15112500,314250000,بله
2962,مرد,33,خرداد,12,4G,خیر,بله,خیر,بله,خیر,خیر,اعتباری,بله,8062500,97297500,خیر
2963,زن,34,بهمن,3,3G,خیر,خیر,خیر,بله,خیر,خیر,اعتباری,بله,4650000,14257500,بله
2964,زن,27,شهریور,34,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,بله,3840000,137572500,خیر
2965,مرد,55,تیر,24,4G,بله,خیر,خیر,بله,خیر,خیر,دائمی,بله,8752500,202035000,خیر
2966,مرد,37,مهر,51,5G,خیر,خیر,بله,خیر,خیر,خیر,اعتباری,خیر,12000000,636352500,بله
2967,زن,44,مرداد,14,4G,خیر,خیر,خیر,خیر,بله,بله,اعتباری,بله,6952500,100905000,خیر
2968,مرد,33,مرداد,59,5G,بله,بله,بله,بله,بله,بله,دائمی,خیر,17062500,984187500,خیر
2969,مرد,18,بهمن,3,5G,خیر,بله,بله,خیر,خیر,بله,اعتباری,خیر,13560000,40267500,خیر
2970,زن,43,فروردین,65,5G,بله,خیر,بله,بله,بله,بله,دائمی,خیر,16395000,1100632500,خیر
2971,مرد,18,فروردین,5,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,10537500,49785000,بله
2972,زن,39,شهریور,59,4G,بله,بله,بله,بله,بله,بله,دائمی,خیر,13545000,779107500,خیر
2973,مرد,24,شهریور,72,4G,بله,بله,بله,بله,بله,بله,دائمی,بله,9787500,671827500,خیر
2974,زن,64,دی,62,5G,خیر,بله,بله,خیر,بله,بله,اعتباری,بله,15022500,942495000,بله
2975,مرد,51,اسفند,28,5G,بله,بله,خیر,خیر,خیر,بله,اعتباری,بله,14175000,398910000,بله
2976,مرد,41,خرداد,3,4G,خیر,خیر,خیر,بله,خیر,بله,اعتباری,خیر,9097500,29535000,خیر
2977,مرد,55,شهریور,19,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,بله,3615000,65880000,خیر
2978,مرد,30,مرداد,1,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,بله,2925000,2925000,خیر
2979,مرد,47,تیر,24,5G,خیر,بله,بله,بله,خیر,خیر,اعتباری,بله,12892500,316072500,خیر
2980,مرد,42,مهر,57,3G,خیر,خیر,بله,بله,خیر,خیر,دائمی,بله,8025000,455370000,خیر
2981,زن,43,فروردین,72,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3817500,279967500,خیر
2982,مرد,55,فروردین,67,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3075000,214642500,خیر
2983,مرد,49,دی,52,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,بله,3127500,160740000,خیر
2984,مرد,43,آبان,71,3G,بله,بله,بله,بله,بله,بله,دائمی,خیر,13485000,968572500,خیر
2985,زن,20,شهریور,26,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3900000,102607500,خیر
2986,زن,28,خرداد,35,5G,بله,بله,بله,بله,بله,بله,دائمی,بله,16980000,587107500,خیر
2987,زن,39,فروردین,55,5G,خیر,خیر,خیر,خیر,خیر,خیر,دائمی,بله,10357500,576390000,خیر
2988,زن,41,دی,33,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3015000,100552500,خیر
2989,مرد,26,اسفند,72,5G,بله,بله,بله,خیر,بله,بله,دائمی,بله,16447500,1182037500,خیر
2990,مرد,69,بهمن,1,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,بله,2880000,2880000,خیر
2991,مرد,58,آبان,10,3G,خیر,خیر,خیر,خیر,خیر,بله,اعتباری,بله,5085000,44767500,بله
2992,زن,47,مرداد,37,5G,خیر,خیر,بله,بله,بله,خیر,اعتباری,خیر,13500000,505762500,خیر
2993,مرد,41,مهر,12,4G,خیر,بله,خیر,بله,خیر,خیر,اعتباری,خیر,5100000,66367500,خیر
2994,مرد,37,مرداد,1,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3060000,3060000,خیر
2995,مرد,29,بهمن,62,4G,بله,بله,خیر,بله,خیر,خیر,دائمی,بله,5790000,351832500,خیر
2996,زن,41,مهر,1,4G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,خیر,3787500,3787500,خیر
2997,زن,43,اردیبهشت,18,3G,بله,خیر,بله,خیر,خیر,خیر,اعتباری,بله,9090000,173452500,خیر
2998,مرد,25,شهریور,69,5G,خیر,بله,خیر,خیر,بله,خیر,اعتباری,بله,13492500,921472500,بله
2999,مرد,44,آذر,2,5G,خیر,بله,خیر,خیر,خیر,خیر,اعتباری,بله,11212500,21720000,خیر
3000,مرد,38,آبان,19,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,3090000,62242500,خیر
3001,مرد,18,اردیبهشت,12,5G,خیر,خیر,خیر,خیر,بله,خیر,اعتباری,بله,12667500,158932500,بله
3002,مرد,30,آبان,9,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,3060000,27270000,خیر
3003,مرد,35,بهمن,27,4G,بله,خیر,بله,بله,بله,بله,دائمی,خیر,12255000,331882500,خیر
3004,مرد,63,دی,27,5G,خیر,خیر,خیر,بله,خیر,خیر,اعتباری,بله,11925000,327082500,بله
3005,مرد,47,فروردین,1,5G,خیر,خیر,خیر,خیر,بله,بله,اعتباری,خیر,13372500,13372500,بله
3006,زن,24,تیر,24,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,بله,3045000,68992500,خیر
3007,مرد,46,اسفند,14,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,11242500,155512500,بله
3008,زن,21,دی,32,5G,خیر,بله,خیر,خیر,خیر,خیر,اعتباری,بله,11160000,341542500,بله
3009,زن,53,دی,11,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3000000,31792500,خیر
3010,مرد,34,فروردین,1,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,بله,3750000,3750000,خیر
3011,مرد,39,دی,38,5G,بله,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,12067500,474397500,خیر
3012,زن,56,مرداد,9,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,2962500,31597500,خیر
3013,مرد,25,آذر,54,4G,بله,بله,خیر,بله,خیر,خیر,دائمی,بله,9847500,535005000,خیر
3014,زن,23,دی,29,4G,خیر,خیر,خیر,خیر,بله,بله,دائمی,بله,10650000,312015000,خیر
3015,مرد,33,مهر,44,5G,خیر,خیر,بله,خیر,بله,خیر,اعتباری,بله,13380000,606030000,خیر
3016,مرد,52,اردیبهشت,59,4G,بله,بله,بله,بله,بله,بله,دائمی,بله,13012500,777900000,خیر
3017,زن,22,تیر,3,3G,خیر,خیر,خیر,خیر,خیر,بله,اعتباری,بله,8295000,29422500,بله
3018,زن,18,آبان,18,4G,بله,بله,خیر,بله,خیر,خیر,دائمی,بله,9225000,163117500,خیر
3019,مرد,35,فروردین,67,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3765000,250822500,خیر
3020,زن,47,مهر,22,4G,خیر,بله,خیر,بله,خیر,خیر,اعتباری,خیر,8272500,180907500,بله
3021,مرد,54,آبان,33,4G,بله,خیر,خیر,بله,خیر,خیر,دائمی,خیر,5107500,167092500,خیر
3022,مرد,34,مرداد,5,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,2992500,16057500,خیر
3023,زن,35,آبان,2,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,2992500,5722500,خیر
3024,مرد,54,خرداد,72,4G,بله,بله,بله,بله,بله,بله,دائمی,خیر,13455000,950895000,خیر
3025,مرد,18,شهریور,9,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,3060000,27615000,خیر
3026,مرد,35,اردیبهشت,67,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3945000,253335000,خیر
3027,زن,42,دی,16,5G,خیر,خیر,خیر,خیر,بله,خیر,اعتباری,بله,12742500,206737500,بله
3028,زن,45,خرداد,8,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,بله,3105000,20640000,خیر
3029,مرد,34,مهر,5,4G,بله,بله,بله,بله,خیر,خیر,اعتباری,بله,6487500,32850000,بله
3030,مرد,40,اردیبهشت,23,4G,خیر,خیر,خیر,خیر,خیر,خیر,دائمی,بله,7252500,160072500,بله
3031,مرد,18,آذر,1,5G,خیر,خیر,خیر,خیر,بله,خیر,اعتباری,بله,11932500,11932500,بله
3032,زن,32,دی,50,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,10657500,516727500,بله
3033,مرد,45,مهر,17,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,2917500,55357500,خیر
3034,زن,28,اردیبهشت,68,5G,بله,بله,بله,خیر,بله,بله,دائمی,بله,16620000,1133040000,خیر
3035,مرد,41,مرداد,1,5G,خیر,خیر,خیر,خیر,بله,خیر,اعتباری,خیر,12675000,12675000,بله
3036,زن,45,بهمن,25,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,10395000,271965000,خیر
3037,مرد,36,دی,67,3G,بله,خیر,بله,بله,بله,خیر,دائمی,بله,7402500,498202500,خیر
3038,مرد,42,آذر,32,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3052500,106125000,خیر
3039,زن,28,تیر,67,5G,بله,بله,خیر,خیر,بله,بله,دائمی,بله,15840000,1066822500,خیر
3040,مرد,38,خرداد,72,3G,بله,بله,بله,بله,بله,بله,دائمی,بله,9667500,696165000,خیر
3041,مرد,47,خرداد,71,5G,خیر,بله,بله,بله,بله,بله,دائمی,بله,16290000,1153635000,بله
3042,مرد,42,اسفند,1,4G,خیر,بله,خیر,خیر,خیر,خیر,اعتباری,بله,7485000,7485000,خیر
3043,مرد,33,بهمن,46,4G,خیر,بله,خیر,خیر,خیر,خیر,اعتباری,خیر,4545000,207015000,بله
3044,زن,43,بهمن,2,4G,خیر,خیر,بله,خیر,خیر,خیر,اعتباری,بله,4560000,11797500,بله
3045,زن,49,شهریور,1,4G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,6810000,6810000,بله
3046,زن,18,تیر,48,4G,خیر,بله,بله,خیر,خیر,بله,دائمی,بله,9847500,464197500,خیر
3047,زن,54,مرداد,61,5G,خیر,خیر,بله,بله,بله,بله,دائمی,بله,15495000,977752500,خیر
3048,زن,36,فروردین,32,5G,خیر,بله,خیر,خیر,خیر,بله,اعتباری,خیر,12622500,387892500,بله
3049,زن,45,شهریور,2,4G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,خیر,6667500,12405000,خیر
3050,زن,54,آذر,3,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,2962500,8827500,بله
3051,زن,24,فروردین,5,5G,خیر,خیر,خیر,بله,خیر,بله,اعتباری,بله,12810000,63885000,بله
3052,زن,31,اسفند,71,3G,بله,بله,بله,بله,بله,بله,دائمی,خیر,13485000,951405000,خیر
3053,مرد,37,آبان,37,4G,بله,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,8257500,304612500,خیر
3054,مرد,31,اردیبهشت,65,5G,خیر,خیر,بله,بله,بله,بله,دائمی,بله,15615000,1005007500,خیر
3055,زن,61,آبان,67,5G,خیر,بله,خیر,بله,بله,بله,دائمی,بله,15990000,1086705000,خیر
3056,مرد,30,خرداد,49,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,خیر,11280000,551745000,بله
3057,مرد,33,اردیبهشت,50,4G,بله,خیر,خیر,بله,بله,خیر,دائمی,بله,10575000,522997500,خیر
3058,مرد,42,خرداد,25,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,2940000,61672500,خیر
3059,زن,26,شهریور,17,4G,خیر,خیر,بله,خیر,خیر,خیر,دائمی,بله,8377500,140625000,بله
3060,زن,35,مهر,64,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,بله,3607500,233872500,خیر
3061,مرد,44,مهر,25,3G,خیر,خیر,بله,خیر,بله,خیر,دائمی,بله,5715000,145560000,خیر
3062,مرد,36,خرداد,23,5G,خیر,بله,بله,خیر,بله,بله,اعتباری,بله,15960000,372525000,بله
3063,مرد,39,بهمن,24,4G,خیر,خیر,بله,بله,خیر,خیر,اعتباری,خیر,5137500,124230000,خیر
3064,زن,34,دی,37,5G,خیر,خیر,بله,خیر,بله,بله,اعتباری,بله,15007500,571582500,خیر
3065,زن,22,اردیبهشت,21,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,10297500,223980000,خیر
3066,مرد,44,آذر,1,4G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,6870000,6870000,خیر
3067,زن,61,اسفند,10,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,11362500,116595000,خیر
3068,مرد,40,شهریور,6,5G,خیر,بله,خیر,خیر,خیر,بله,اعتباری,بله,12660000,83452500,بله
3069,مرد,43,خرداد,51,5G,بله,بله,خیر,خیر,خیر,بله,دائمی,بله,14460000,736657500,خیر
3070,زن,48,آذر,10,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,بله,3082500,28102500,خیر
3071,زن,25,اردیبهشت,6,4G,بله,بله,خیر,بله,خیر,بله,اعتباری,خیر,7642500,46140000,خیر
3072,مرد,60,مهر,47,3G,بله,بله,بله,بله,بله,بله,دائمی,بله,13575000,647752500,خیر
3073,زن,42,آبان,61,3G,بله,بله,بله,بله,خیر,بله,دائمی,بله,11910000,723082500,خیر
3074,زن,60,تیر,52,4G,بله,بله,بله,خیر,بله,بله,دائمی,بله,8812500,455782500,خیر
3075,زن,31,بهمن,35,4G,بله,بله,خیر,خیر,خیر,خیر,اعتباری,بله,8917500,320535000,خیر
3076,مرد,62,اسفند,71,5G,خیر,بله,بله,خیر,بله,بله,دائمی,بله,15855000,1120822500,خیر
